Frame,Label,X,Y,Width,Height
33,2,74,163,48,24
33,2,255,168,31,28
33,2,461,165,65,27
33,2,190,161,64,38
33,9,73,19,17,36
33,2,224,172,40,28
33,2,0,148,38,59
33,9,0,31,12,24
34,2,352,174,99,64
34,2,23,162,58,26
34,2,73,163,48,24
34,2,464,166,62,26
34,2,559,166,79,35
34,2,256,169,30,27
34,9,71,17,17,36
34,2,222,171,45,29
34,2,22,162,42,25
34,7,0,125,40,82
34,2,0,148,39,61
34,7,190,161,76,39
35,2,351,174,95,63
35,2,468,165,63,25
35,2,23,162,55,26
35,2,546,166,92,38
35,2,70,162,51,25
35,9,68,13,18,38
35,2,566,167,71,34
35,2,231,173,41,28
35,2,258,169,28,26
35,2,192,160,64,39
35,9,142,14,16,31
35,2,0,163,36,46
35,2,224,174,38,27
36,2,351,174,93,63
36,2,470,167,62,24
36,2,69,162,50,25
36,2,22,162,55,26
36,2,551,167,88,39
36,9,65,12,19,38
36,2,573,168,66,30
36,2,262,169,25,25
36,2,0,162,35,48
36,7,0,125,37,85
36,2,239,171,34,29
36,2,613,172,26,32
36,7,194,162,78,40
36,2,21,163,40,25
37,2,350,175,91,61
37,2,578,167,61,32
37,2,474,167,57,24
37,2,70,163,49,24
37,9,63,10,19,38
37,2,20,162,59,27
37,2,553,167,85,41
37,2,235,172,44,31
37,2,614,170,24,35
37,2,0,162,34,48
37,2,19,163,44,26
37,7,0,124,36,87
37,2,265,172,21,20
38,2,349,175,87,61
38,9,60,9,18,38
38,2,557,167,82,39
38,2,475,168,57,25
38,2,68,163,50,25
38,2,24,163,53,26
38,2,241,174,43,29
38,2,583,168,56,35
38,2,0,157,34,53
38,7,193,161,91,43
38,7,0,126,35,85
39,2,348,176,88,59
39,2,561,168,78,41
39,2,478,168,54,25
39,2,66,164,52,25
39,2,233,174,55,30
39,9,58,6,19,39
39,2,0,161,32,50
39,2,588,169,51,35
39,2,20,163,50,28
39,7,196,162,91,41
40,2,347,176,86,57
40,2,566,169,72,42
40,9,55,3,19,41
40,2,479,169,59,24
40,2,52,165,65,25
40,2,592,169,47,34
40,2,16,163,54,28
40,7,195,163,96,42
40,2,0,162,30,52
40,7,0,125,29,89
40,2,240,175,52,31
41,2,345,176,85,57
41,2,569,169,70,44
41,2,49,165,67,26
41,2,481,169,58,25
41,2,239,175,57,31
41,2,0,166,29,49
41,2,14,164,41,28
41,2,591,169,48,39
41,9,52,2,19,40
42,2,345,176,83,56
42,2,482,169,59,25
42,2,575,169,64,41
42,2,49,165,68,26
42,2,605,169,34,35
42,2,246,175,56,32
42,2,10,163,43,27
42,2,13,163,58,29
42,7,196,162,101,45
42,2,0,163,28,52
43,2,344,176,81,55
43,2,578,169,61,45
43,2,484,169,59,26
43,2,64,165,52,26
43,7,200,162,106,45
43,2,5,164,62,28
43,2,0,167,26,49
43,2,266,176,41,32
44,2,342,175,81,56
44,2,488,169,64,26
44,2,585,170,54,41
44,2,49,165,66,26
44,2,4,164,62,28
44,2,259,176,52,33
44,7,203,163,108,46
45,2,342,176,79,53
45,2,489,170,64,27
45,7,202,164,116,46
45,2,45,165,69,26
45,2,591,173,48,36
45,2,2,163,61,29
45,9,38,6,21,29
45,2,623,171,16,31
45,2,591,181,47,33
46,2,341,176,76,51
46,2,491,170,63,27
46,2,597,179,42,35
46,7,204,162,119,47
46,2,54,165,59,26
46,2,0,163,68,30
46,2,1,163,46,29
46,9,35,2,20,29
46,2,0,171,22,46
47,2,341,176,78,51
47,2,493,169,60,26
47,7,207,162,122,49
47,2,604,178,35,40
47,2,59,165,53,26
47,2,1,163,44,29
47,2,40,165,72,27
47,9,31,1,21,27
47,2,0,170,20,49
48,2,340,175,76,51
48,2,499,169,58,26
48,7,208,160,128,51
48,2,58,164,54,27
48,2,207,162,128,50
48,2,0,163,43,29
48,2,0,164,19,55
48,9,27,1,22,25
48,2,39,165,73,28
49,2,339,174,76,52
49,2,495,169,65,27
49,7,210,160,131,51
49,2,0,163,41,29
49,2,37,165,74,27
49,2,210,161,131,50
49,2,59,164,52,27
49,9,23,0,22,23
49,2,0,169,16,50
50,2,339,173,73,51
50,2,497,168,66,28
50,7,211,160,135,51
50,2,212,159,135,52
50,2,56,164,54,28
50,9,19,0,23,20
50,2,0,162,42,30
50,2,607,179,32,34
50,2,0,162,61,31
50,2,34,164,76,27
50,2,626,178,13,35
51,2,338,172,73,50
51,2,500,167,66,30
51,2,216,162,132,49
51,2,0,162,56,31
51,2,53,163,55,28
51,2,204,173,14,11
51,9,14,0,23,18
51,7,216,160,132,51
52,2,338,172,70,47
52,2,509,167,59,29
52,7,220,160,130,52
52,2,0,161,40,30
52,2,52,163,55,28
52,2,0,162,59,30
52,2,204,173,11,11
52,2,221,160,129,52
52,9,9,0,23,14
52,7,32,163,75,28
52,2,615,180,19,33
53,2,339,171,68,48
53,2,510,167,61,28
53,2,624,181,15,30
53,2,225,159,123,54
53,7,223,159,125,54
53,2,0,162,48,30
53,2,52,163,54,28
53,2,204,172,11,11
53,7,43,163,63,28
54,2,546,117,93,126
54,2,522,136,31,23
55,2,557,115,82,124
55,2,534,131,34,26
56,2,579,115,60,137
56,2,546,137,31,19
56,2,573,128,30,45
56,2,583,127,19,25
57,2,586,115,53,132
57,2,576,127,34,45
57,2,549,129,32,26
57,7,549,127,33,29
57,2,575,132,25,41
58,7,557,126,35,29
58,2,587,127,36,44
58,2,557,128,35,28
58,2,586,120,52,117
59,2,605,126,34,93
59,2,555,131,20,18
60,2,570,132,17,16
61,0,633,138,6,31
62,4,1,160,630,162
63,2,601,132,19,16
64,2,4,238,635,120
64,2,609,133,22,19
65,2,5,232,634,125
65,2,625,134,14,16
68,4,1,176,620,145
75,2,5,236,634,123
76,2,4,236,635,123
79,2,7,236,632,122
82,4,0,145,637,194
84,2,0,167,114,111
84,2,319,190,56,42
84,2,540,209,35,17
84,2,293,189,33,29
84,2,469,204,23,14
84,2,247,183,28,22
85,2,0,167,114,112
85,2,320,190,56,42
85,2,542,210,34,16
85,2,293,189,33,29
85,2,471,203,22,15
85,2,246,183,29,22
86,2,0,167,114,110
86,2,319,190,57,42
86,2,541,210,37,17
86,2,471,203,23,15
86,2,294,189,33,29
86,2,246,182,29,21
87,2,0,166,114,111
87,2,320,190,57,42
87,2,294,188,33,29
87,2,543,210,36,16
87,2,472,203,23,15
87,2,465,202,29,15
87,2,246,182,26,21
87,2,248,192,17,11
88,2,320,189,57,42
88,2,0,165,113,110
88,2,293,188,35,30
88,2,546,210,36,17
88,2,473,202,21,16
88,2,247,182,26,20
89,2,320,189,57,42
89,2,0,162,112,114
89,2,291,187,39,30
89,2,549,210,35,16
89,2,474,202,22,16
89,2,246,182,27,20
90,2,320,189,58,42
90,2,0,162,112,113
90,2,291,188,37,30
90,2,550,211,36,17
90,2,476,204,21,15
90,2,246,182,25,20
91,2,0,164,112,112
91,2,320,190,58,42
91,2,293,187,36,31
91,2,552,211,38,18
91,2,246,182,26,21
91,2,476,204,23,15
91,2,246,187,19,16
92,2,320,190,58,43
92,2,554,212,37,19
92,2,294,188,36,31
92,7,0,164,238,111
92,2,246,183,22,20
92,2,476,206,23,14
92,2,0,164,109,111
92,2,246,191,17,13
93,2,320,190,58,43
93,2,0,165,110,111
93,2,293,188,37,32
93,2,558,212,36,18
93,2,245,183,21,21
93,2,478,205,21,16
93,2,245,190,18,13
94,2,319,190,58,43
94,2,0,164,111,111
94,2,559,212,37,19
94,2,292,189,39,32
94,2,479,205,21,15
94,2,244,183,24,21
94,2,245,190,18,13
95,2,320,191,57,43
95,2,0,163,110,112
95,2,562,213,37,19
95,2,292,189,40,32
95,2,480,206,21,15
95,2,243,183,25,21
95,2,243,188,19,15
96,2,319,191,57,44
96,2,0,164,110,112
96,2,564,214,37,19
96,2,293,189,39,32
96,2,483,204,20,18
96,2,243,183,27,21
96,2,245,191,17,13
96,2,470,204,32,18
97,2,0,166,110,110
97,2,319,191,58,44
97,2,567,214,38,19
97,2,295,190,37,32
97,2,483,205,21,18
97,2,243,185,24,20
97,2,244,192,18,12
98,2,0,166,109,111
98,2,568,214,39,19
98,2,320,191,57,44
98,2,296,190,37,32
98,2,243,186,22,19
98,2,243,191,20,14
98,2,484,204,20,17
99,2,0,166,108,111
99,2,320,190,57,45
99,2,571,214,39,20
99,2,295,190,39,33
99,2,242,184,25,21
99,2,243,191,20,14
99,2,240,188,24,17
100,2,0,165,107,111
100,2,319,191,59,44
100,2,574,214,39,19
100,2,486,204,22,17
100,2,294,189,39,34
100,2,244,192,18,12
100,2,243,185,24,20
101,2,319,190,59,45
101,2,0,164,107,113
101,2,575,213,40,19
101,2,295,188,38,35
101,2,486,204,23,17
101,2,243,192,18,12
101,2,242,185,25,20
101,2,242,188,20,16
102,2,320,190,58,45
102,2,296,188,39,36
102,2,0,163,107,114
102,2,578,213,39,19
102,7,0,164,107,113
102,2,487,204,23,17
102,2,243,192,18,11
102,2,242,185,27,18
103,2,321,189,58,46
103,2,296,188,40,37
103,2,581,213,41,19
103,2,0,163,106,114
103,7,0,165,106,112
103,2,489,204,21,17
103,2,243,193,16,11
104,2,323,189,56,46
104,2,0,158,105,117
104,2,583,212,42,20
104,2,297,188,38,37
104,2,490,204,24,17
104,2,595,214,30,19
104,2,243,193,16,11
105,2,323,189,57,45
105,2,0,164,105,112
105,2,297,188,39,38
105,2,586,213,42,20
105,2,490,203,23,18
105,2,240,182,26,21
106,2,0,165,104,112
106,2,323,189,57,45
106,2,296,188,40,38
106,2,589,213,42,20
106,2,493,203,22,18
106,2,239,182,27,22
107,2,0,164,103,113
107,2,325,189,56,46
107,2,591,213,44,20
107,2,295,188,43,38
107,2,494,204,22,17
107,2,240,182,21,22
107,2,241,193,17,11
107,2,605,215,29,19
108,2,0,166,102,112
108,2,326,190,56,47
108,2,295,188,43,39
108,2,594,214,44,21
108,2,609,217,30,18
108,2,495,204,23,18
108,2,240,183,20,22
108,2,240,189,18,16
109,2,328,190,56,47
109,2,0,166,101,112
109,2,299,188,40,39
109,2,597,213,40,20
109,2,496,204,21,17
109,2,240,193,17,12
109,2,611,214,28,21
109,2,240,183,19,21
109,2,618,221,21,14
110,2,330,190,54,46
110,2,0,163,100,114
110,2,599,213,38,21
110,2,497,205,23,18
110,2,240,192,17,14
110,2,304,189,36,38
110,2,239,184,20,21
110,7,0,166,100,110
111,2,332,191,53,46
111,2,305,189,36,38
111,2,602,214,36,22
111,2,0,157,100,121
111,2,499,204,23,19
111,2,239,191,17,14
111,2,239,183,21,22
111,2,561,203,24,16
112,2,605,214,34,23
112,2,303,189,40,42
112,2,0,160,98,118
112,2,501,205,25,19
112,2,333,191,56,47
112,2,239,184,20,22
112,2,239,189,17,17
112,2,562,203,25,16
113,2,607,216,32,21
113,2,0,165,98,113
113,2,502,205,23,18
113,2,239,184,20,22
113,2,239,190,18,15
113,2,304,189,43,45
113,2,336,191,54,46
113,2,568,205,22,14
113,2,564,205,15,14
114,2,0,196,152,81
114,2,420,196,72,56
114,2,524,193,27,18
114,2,178,210,120,56
114,2,230,194,71,37
114,2,0,199,299,72
114,2,292,196,49,45
114,2,134,206,161,60
114,2,626,216,13,18
114,2,205,198,28,12
114,2,559,195,16,9
115,2,0,196,138,82
115,2,417,196,74,57
115,2,133,203,163,65
115,2,523,193,27,18
115,2,290,196,53,46
115,2,227,195,72,37
115,2,175,209,124,57
115,2,558,195,16,9
116,2,416,196,73,58
116,2,0,196,141,82
116,2,158,210,142,56
116,2,522,193,28,18
116,2,227,194,68,35
116,2,289,196,42,40
116,2,197,200,29,12
117,2,413,196,75,58
117,2,0,196,132,83
117,2,187,210,116,56
117,2,225,193,70,37
117,2,521,194,27,17
117,2,288,196,43,41
117,2,161,196,37,14
117,2,196,199,31,12
117,2,128,207,175,61
117,2,497,196,22,12
118,2,410,195,74,63
118,2,0,196,129,82
118,2,128,206,179,62
118,2,224,194,70,37
118,2,521,194,27,17
118,2,195,199,30,11
118,2,158,196,39,14
118,2,285,197,42,40
118,2,623,216,15,21
118,2,291,196,31,13
118,2,545,194,15,9
118,2,178,209,129,57
118,2,285,209,40,28
118,2,498,196,17,12
119,2,407,195,73,63
119,2,0,195,127,83
119,2,120,202,183,67
119,2,520,193,27,18
119,2,222,193,69,36
119,2,497,196,19,13
119,2,623,216,16,21
119,2,544,193,15,10
119,2,194,209,115,57
119,2,194,199,30,11
119,2,557,194,13,9
119,2,284,196,39,36
119,2,158,197,37,12
120,2,404,195,75,65
120,2,0,196,130,82
120,2,519,192,28,18
120,2,120,206,190,62
120,2,222,193,67,34
120,2,556,193,15,9
120,2,623,215,16,25
120,2,156,195,38,13
120,2,544,193,17,10
120,2,192,198,31,10
120,0,469,211,14,50
120,2,198,197,27,11
120,2,282,196,46,39
120,2,157,194,33,11
121,2,402,193,78,67
121,2,0,195,127,81
121,2,113,203,193,66
121,2,518,191,29,19
121,2,221,193,65,37
121,2,556,194,15,9
121,2,155,194,38,12
121,2,504,198,15,11
121,2,281,196,41,38
121,2,190,199,25,10
121,2,544,193,23,9
121,2,1,198,312,76
121,2,201,196,24,10
121,2,623,214,16,26
122,2,401,193,75,68
122,2,0,193,120,83
122,2,108,203,204,65
122,2,516,191,30,20
122,2,220,192,70,33
122,2,108,197,39,21
122,2,556,193,14,9
122,2,282,202,37,33
122,2,494,195,23,13
122,2,189,199,25,10
122,2,0,198,315,75
122,2,153,196,39,11
122,2,202,196,22,10
123,2,398,193,80,68
123,2,142,204,170,65
123,2,0,194,118,80
123,2,514,189,30,22
123,2,107,196,38,22
123,2,556,193,14,9
123,2,221,192,65,35
123,2,281,196,40,37
123,2,541,192,16,10
123,9,129,121,10,26
124,2,396,194,82,68
124,2,155,204,163,64
124,2,515,190,29,21
124,2,0,194,115,82
124,2,555,193,14,9
124,2,279,201,39,30
124,2,104,198,40,20
124,2,220,191,61,37
124,2,541,192,16,10
124,9,126,119,10,29
124,2,493,194,16,11
124,2,104,198,55,22
125,2,394,194,83,68
125,2,150,204,169,65
125,2,0,194,112,85
125,2,514,191,29,20
125,2,103,197,38,21
125,2,217,191,67,33
125,2,555,193,14,9
125,2,540,192,16,10
125,2,278,197,40,33
125,2,143,197,44,11
126,2,152,206,169,64
126,2,391,193,83,69
126,2,0,195,111,83
126,2,514,191,28,19
126,2,618,213,21,29
126,2,216,192,69,30
126,2,125,202,54,20
126,2,539,192,17,10
126,2,101,198,36,21
126,2,493,194,17,12
126,2,554,193,14,8
127,2,150,205,173,65
127,2,389,193,83,70
127,2,513,190,28,20
127,2,0,195,112,82
127,2,617,213,22,29
127,2,215,191,68,32
127,2,276,195,36,33
127,2,98,198,38,20
127,2,539,192,17,10
127,2,492,194,16,12
127,2,136,203,43,16
127,2,0,194,41,50
127,2,554,192,14,9
127,2,275,206,36,22
128,2,147,206,179,64
128,2,387,193,84,71
128,2,0,195,111,84
128,2,512,192,29,19
128,2,618,212,21,30
128,2,136,201,46,23
128,2,276,195,34,32
128,2,538,192,16,10
128,9,116,119,10,28
128,2,215,191,67,28
128,2,552,192,15,9
128,2,275,206,34,22
128,2,122,203,60,24
128,2,492,194,15,12
129,2,148,205,181,65
129,2,385,193,85,72
129,2,0,195,107,85
129,2,512,191,28,20
129,2,618,212,21,30
129,9,114,120,10,25
129,2,538,192,15,10
129,2,213,192,68,26
129,2,275,194,34,33
129,2,148,203,30,19
130,2,147,207,186,66
130,2,383,192,85,73
130,2,0,195,105,85
130,2,511,190,28,20
130,2,275,201,33,26
130,2,537,192,15,10
130,9,111,119,10,27
130,2,0,195,102,49
130,2,452,190,20,24
130,2,490,194,19,13
130,2,619,215,19,28
131,2,149,207,186,69
131,2,381,193,86,73
131,2,510,190,29,20
131,2,0,195,103,85
131,2,274,196,34,30
131,9,109,118,10,29
131,2,536,192,16,10
131,2,0,195,101,52
131,2,490,194,21,14
131,2,551,193,14,9
131,2,212,191,68,22
132,2,153,207,187,68
132,2,379,193,86,74
132,2,509,190,29,20
132,2,0,195,101,85
132,2,0,195,99,47
132,2,275,196,32,30
132,2,140,205,38,43
132,2,536,192,15,9
132,2,209,192,72,26
132,9,107,119,9,28
132,2,552,194,16,8
132,2,617,214,22,29
132,2,191,197,23,9
133,2,154,206,191,68
133,2,377,193,88,76
133,2,508,193,29,18
133,2,0,195,98,49
133,2,0,195,98,82
133,2,207,192,71,19
133,2,535,192,17,10
133,2,552,195,17,8
133,2,487,194,21,14
133,2,551,194,16,9
133,9,105,119,9,27
133,0,313,208,13,21
133,0,304,207,11,22
134,2,155,207,194,67
134,2,375,196,89,75
134,2,508,194,29,17
134,2,0,196,95,86
134,2,0,197,96,48
134,2,551,195,24,8
134,2,207,194,71,18
134,2,550,194,18,9
134,0,313,207,12,22
134,0,303,207,11,22
134,2,535,194,17,9
134,2,94,204,84,45
134,2,275,196,29,28
134,2,189,198,22,9
134,2,124,193,56,19
135,2,160,206,191,69
135,2,374,197,89,74
135,2,507,194,30,19
135,2,0,197,97,89
135,2,204,194,72,17
135,2,549,194,17,9
135,2,0,197,95,48
135,2,89,206,85,44
135,2,550,195,19,9
135,2,534,193,18,10
135,2,275,197,30,26
135,2,138,208,35,43
135,2,190,197,21,10
136,2,162,207,193,68
136,2,0,198,96,91
136,2,372,196,90,76
136,2,508,195,28,18
136,2,204,194,72,18
136,2,533,194,18,11
136,2,88,207,86,44
136,2,0,198,95,48
136,2,274,197,30,22
136,2,139,208,35,45
136,2,274,197,29,16
137,2,164,206,196,69
137,2,370,196,92,77
137,2,507,195,29,18
137,2,0,198,92,63
137,2,533,194,17,12
137,2,274,198,26,13
137,2,204,195,71,16
137,2,96,206,77,46
137,2,0,198,94,87
137,2,548,195,17,10
137,2,132,208,41,45
138,2,166,206,195,70
138,2,368,197,92,78
138,2,0,198,93,90
138,2,506,195,29,18
138,2,0,198,92,52
138,2,75,203,40,44
138,2,534,194,16,11
138,2,204,194,70,17
138,2,96,207,78,45
138,2,547,194,16,11
138,2,274,198,24,14
138,2,169,205,26,19
139,2,170,201,197,74
139,2,367,197,93,78
139,2,506,196,29,18
139,2,0,198,90,49
139,2,533,195,16,11
139,2,0,198,91,86
139,2,73,202,41,45
139,2,547,194,15,10
139,2,99,206,75,46
140,2,172,204,195,72
140,2,365,197,93,79
140,2,504,197,29,17
140,2,0,198,91,51
140,2,0,197,98,94
140,2,532,195,17,11
140,2,483,196,23,16
141,2,173,204,194,72
141,2,364,197,93,80
141,2,503,196,30,19
141,2,0,198,85,48
141,2,530,194,19,11
141,2,91,208,86,46
142,2,173,206,193,70
142,2,362,198,94,80
142,2,503,194,31,21
142,2,0,198,83,50
142,2,91,208,86,47
142,2,122,210,54,45
142,2,483,197,20,15
142,2,530,194,18,11
143,2,166,207,199,70
143,2,360,199,95,79
143,2,0,199,81,50
143,2,502,195,30,21
143,2,81,208,92,46
143,2,484,197,19,15
143,2,529,194,19,12
143,2,162,204,30,22
144,2,447,211,192,119
144,2,308,230,18,13
144,2,242,226,20,14
144,7,84,219,36,12
145,2,449,210,189,125
145,2,308,230,18,13
145,7,79,218,33,13
145,2,24,218,22,8
146,2,451,209,188,127
146,2,69,217,34,14
146,2,308,230,18,13
146,2,19,218,21,7
146,2,241,225,20,15
147,2,452,208,187,133
147,2,56,217,38,15
147,2,308,230,18,13
147,2,14,217,19,7
147,2,241,225,20,15
148,2,455,208,183,137
148,2,43,215,42,16
148,2,308,230,18,13
148,2,5,217,20,8
148,2,241,226,20,14
149,2,457,207,181,141
149,2,30,215,49,16
149,2,308,230,19,13
149,2,241,226,21,14
149,2,0,216,19,9
150,2,460,206,178,143
150,2,307,230,19,13
150,2,15,214,59,16
150,2,240,226,21,14
151,2,463,205,175,144
151,2,308,230,19,13
151,2,50,217,22,9
151,2,240,226,21,14
151,2,0,212,46,17
152,2,463,204,176,145
152,2,43,216,24,9
